project_id,repo_name,repo_url,description,languages_json,technologies_json,readme_full_text,stars,last_updated,indexed_at
884f7ff1-b1f1-467b-9756-72c736be8853,projet_traitement_signal_s3,file://projet_traitement_signal_s3,"Projet collaboratif de classification de musiques par genre, utilisant Python, SQL, GitHub et Trello pour la gestion de projet et la collaboration. Réunions régulières, feuille de route commune, partage des tâches et rédaction collective du rapport.","{""Python"": 70, ""SQL"": 20, ""Other"": 10}","[""Python"", ""SQL (PostgreSQL)"", ""GitHub"", ""Trello""]","Projet collaboratif de classification de musiques par genre, utilisant Python, SQL, GitHub et Trello pour la gestion de projet et la collaboration. Réunions régulières, feuille de route commune, partage des tâches et rédaction collective du rapport.",,,"2026-04-08 03:58:49"
af91ee6b-9579-4121-b468-f4899cf2847b,steam_reco_system,file://steam_reco_system,"Système de recommandation et recherche temps réel inspiré de Steam. Recommandations < 100ms, recherche + ranking intégrés, simulation d’architecture production (API, search, observabilité).","{""Python"": 82.3, ""Jupyter Notebook"": 9.3, ""Shell"": 5.3, ""CSS"": 2.1, ""Dockerfile"": 1.0}","[""Python 3.11+"", ""FastAPI"", ""Streamlit"", ""MongoDB"", ""Elasticsearch"", ""SQLite FTS5"", ""Whoosh"", ""Prometheus"", ""Grafana"", ""Docker"", ""GitHub Actions""]","Système de recommandation et recherche temps réel inspiré de Steam. Recommandations < 100ms, recherche + ranking intégrés, simulation d’architecture production (API, search, observabilité).",,,"2026-04-08 03:58:49"
0af9a0b4-20f1-4346-ad14-6c319def311d,cpp_finance_utils,file://cpp_finance_utils,"Modules C++ pour maths, statistiques et optimisation.","{""C++"": 90, ""CMake"": 5, ""Python"": 5}","[""C++20"", ""Eigen"", ""CMake"", ""GoogleTest""]","Modules C++ pour maths, statistiques et optimisation.",,,"2026-04-08 03:58:49"
627772d4-af11-460a-9d9a-e771cc5e2e8b,energy_derivatives_pricing,file://energy_derivatives_pricing,"C++ pricing engines pour power, gas et spreads (Spark, Crack, Forwards), avec bindings Python et framework de benchmark.","{""C++"": 90, ""CMake"": 5, ""Python"": 5}","[""C++20"", ""Eigen"", ""Boost"", ""CMake"", ""GoogleTest"", ""pybind11""]","C++ pricing engines pour power, gas et spreads (Spark, Crack, Forwards), avec bindings Python et framework de benchmark.",,,"2026-04-08 03:58:49"
67a8440d-823a-4358-9aed-ac38043ce93f,portfolio_optimizer_demo,file://portfolio_optimizer_demo,"Démonstrateur d’optimisation de portefeuille basé sur Streamlit, landing page QR code, monitoring Grafana/Prometheus/Loki, orchestration Docker Compose.","{""Python"": 80, ""Shell"": 10, ""Dockerfile"": 5, ""YAML"": 5}","[""Python"", ""Streamlit"", ""Docker Compose"", ""Grafana"", ""Prometheus"", ""Loki"", ""ngrok""]","Démonstrateur d’optimisation de portefeuille basé sur Streamlit, landing page QR code, monitoring Grafana/Prometheus/Loki, orchestration Docker Compose.",,,"2026-04-08 03:58:49"
5cb01b71-5507-4508-8f34-699dcd5269c5,api_prime_pricing,file://api_prime_pricing,"Projet de prédiction de prime auto basé sur deux modèles ML (fréquence et sévérité), exposés via une API FastAPI et une application Streamlit.","{""Python"": 96.8, ""CSS"": 2.8, ""Other"": 0.4}","[""Python 3.11+"", ""FastAPI"", ""Streamlit"", ""scikit-learn"", ""pandas"", ""uv"", ""SQLite"", ""Docker"", ""GitHub Actions""]","Projet de prédiction de prime auto basé sur deux modèles ML (fréquence et sévérité), exposés via une API FastAPI et une application Streamlit.",,,"2026-04-08 03:58:49"
0e77d288-c297-45ca-9b27-8eb5df3e0746,quant_engine,file://quant_engine,"C++20 quantitative finance engine : Black-Scholes, Monte Carlo, Greeks, Portfolio VaR, framework de benchmark.","{""C++"": 90, ""CMake"": 5, ""Python"": 5}","[""C++20"", ""CMake"", ""GoogleTest"", ""Eigen"", ""pybind11""]","C++20 quantitative finance engine : Black-Scholes, Monte Carlo, Greeks, Portfolio VaR, framework de benchmark.",,,"2026-04-08 03:58:49"
25691398-8d3d-4f2c-901c-276e8f0e576e,poly_bet,file://poly_bet,"La plateforme où l’info devient un jeu. Plateforme de paris décentralisée avec frontend React, backend Node.js, smart contracts Ethereum, et orchestration Docker.","{""JavaScript"": 62.0, ""HTML"": 22.9, ""Shell"": 9.5, ""Dockerfile"": 5.0, ""CSS"": 0.6}","[""React (Vite)"", ""Node.js"", ""Express"", ""Solidity (Ethereum)"", ""web3.js"", ""Docker"", ""nginx""]","La plateforme où l’info devient un jeu. Plateforme de paris décentralisée avec frontend React, backend Node.js, smart contracts Ethereum, et orchestration Docker.",,,"2026-04-08 03:58:49"
f12b1f3e-c6a4-44bb-acfb-aa226b56b02d,proj_sbt_scala_cmd,file://proj_sbt_scala_cmd,"Projet Scala utilisant SBT pour la gestion des dépendances, configuration Spark, logging, et environnement de développement sous IntelliJ IDEA.","{""Scala"": 100.0}","[""Scala 2.13.15"", ""SBT"", ""Apache Spark 3.3.0"", ""IntelliJ IDEA""]","Projet Scala utilisant SBT pour la gestion des dépendances, configuration Spark, logging, et environnement de développement sous IntelliJ IDEA.",,,"2026-04-08 03:58:49"
167445e1-6c4b-4f0d-bfb1-ee8dfe611574,latex_tool_generator,https://github.com/charlyromytanga/latex_tool_generator,"Plateforme Python pour automatiser la génération de documents de candidature (CV, lettres et artefacts associés) à partir d'offres d'emploi structurées. Ingestion, validation, génération LaTeX, API, App, CI/CD, Docker.","[""Python"", ""LaTeX"", ""Shell""]","[""FastAPI"", ""Streamlit"", ""Docker"", ""GitHub Actions"", ""uv""]","Plateforme Python pour automatiser la génération de documents de candidature (CV, lettres et artefacts associés) à partir d'offres d'emploi structurées. Ingestion, validation, génération LaTeX, API, App, CI/CD, Docker.",,,"2026-04-08 03:58:49"
